logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano;year
rua gomes pacheco;465;apto 1503 edf baia de parma;367426,80;Espinheiro;Recife;PE;2001;1162,6;105,42;0,0149;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-25;Bom;Apartamento;0,00;27006;-8.040331;-34.889346;2023;2023
rua gomes pacheco;445;;2000000,00;Espinheiro;Recife;PE;1957;1070,0;501,6;1,0;Médio;Casa;RESIDENCIAL;2023-07-04;Bom;Casa;0,00;27006;-8.040433;-34.889187;2023;2023
rua gomes pacheco;445;;2000000,00;Espinheiro;Recife;PE;1957;1070,0;501,6;1,0;Médio;Casa;RESIDENCIAL;2023-09-29;Bom;Casa;0,00;27006;-8.040433;-34.889187;2023;2023
rua marques do parana;209;;720000,00;Espinheiro;Recife;PE;2011;422,5;311,85;1,0;Simples;Edificação Especial;COMERCIAL SEM LIXO ORGANICO;2023-03-08;Bom;Edificação Especial;0,00;49018;-8.041581;-34.889229;2023;2023
rua alfredo de carvalho;110;;722432,13;Espinheiro;Recife;PE;1939;407,5;124,25;1,0;Simples;Casa;RESIDENCIAL;2023-05-02;Bom;Casa;0,00;2402;-8.040898;-34.889615;2023;2023
rua affonso neves baptista;172;apto 0401 edf mar vermelho;360000,00;Espinheiro;Recife;PE;1982;712,24;150,53;0,05555;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-03-07;Bom;Apartamento;0,00;1007;-8.040233;-34.890197;2023;2023
rua alfredo de medeiros;151;apto 0602 edf rejane;290000,00;Espinheiro;Recife;PE;1980;564,4;132,1;0,08333;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-11;Bom;Apartamento;0,00;2526;-8.040932;-34.890127;2023;2023
rua alfredo de medeiros;115;apto 1001 edf praia farol da barra;492368,70;Espinheiro;Recife;PE;2008;1263,35;140,76;0,0185;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-18;Bom;Apartamento;185000,00;2526;-8.041116;-34.890557;2023;2023
rua alfredo de medeiros;115;apto 1702 edf praia farol da barra;509574,28;Espinheiro;Recife;PE;2008;1263,35;140,76;0,0185;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-11;Bom;Apartamento;250000,00;2526;-8.041116;-34.890557;2023;2023
rua alfredo de medeiros;91;apto 0303 edf praia de guaratuba;375228,97;Espinheiro;Recife;PE;2001;1273,96;115,98;0,01798;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-03-01;Bom;Apartamento;0,00;2526;-8.041261;-34.890695;2023;2023
rua alfredo de medeiros;91;apto 0901 edf praia de guaratuba;440000,00;Espinheiro;Recife;PE;2001;1273,96;115,98;0,01798;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-19;Bom;Apartamento;0,00;2526;-8.041261;-34.890695;2023;2023
av joao de barros;1454;;3392555,00;Espinheiro;Recife;PE;1947;723,68;476,98;1,0;Simples;Edificação Especial;COMERCIAL COM LIXO ORGANICO;2023-12-26;Bom;Edificação Especial;0,00;33405;-8.04176;-34.890956;2023;2023
rua affonso neves baptista;60;;730000,00;Espinheiro;Recife;PE;1945;342,0;308,42;1,0;Simples;Casa;RESIDENCIAL;2023-06-12;Bom;Casa;415000,00;1007;-8.041003;-34.890931;2023;2023
rua conselheiro portela;705;;937769,60;Encruzilhada;Recife;PE;1946;315,57;336,18;1,0;Médio;Loja <= 4 Pavimentos;COMERCIAL SEM LIXO ORGANICO;2023-06-01;Bom;Loja;0,00;52221;-8.039714;-34.892423;2023;2023
