logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano;year
av norte miguel arraes de alencar;3071;;1068562,63;Encruzilhada;Recife;PE;1997;438,0;511,0;1,0;Médio;Galpão;COMERCIAL COM LIXO ORGANICO;2024-01-23;Regular;Galpão;0,00;46540;-8.034273;-34.896337;2024;2024
av norte miguel arraes de alencar;3029;;1951000,00;Encruzilhada;Recife;PE;1957;779,33;582,44;1,0;Médio;Casa;COMERCIAL SEM LIXO ORGANICO;2024-01-25;Regular;Casa;0,00;46540;-8.034435;-34.896335;2024;2024
av norte miguel arraes de alencar;3029;;1500000,00;Encruzilhada;Recife;PE;1957;779,33;582,44;1,0;Médio;Casa;COMERCIAL SEM LIXO ORGANICO;2024-01-05;Regular;Casa;0,00;46540;-8.034435;-34.896335;2024;2024
rua caio pereira;375;apto 503 edf luar do rosarinho;402544,22;Encruzilhada;Recife;PE;2007;798,91;118,55;0,02516;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-10-22;Bom;Apartamento;200000,00;13269;-8.034996;-34.896187;2024;2024
rua caio pereira;375;apto 602 edf luar do rosarinho;405198,63;Encruzilhada;Recife;PE;2007;798,91;118,64;0,02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-05-15;Bom;Apartamento;288000,00;13269;-8.034996;-34.896187;2024;2024
rua caio pereira;375;apto 801 edf luar do rosarinho;409994,56;Encruzilhada;Recife;PE;2007;798,91;118,64;0,02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-08-05;Bom;Apartamento;235000,00;13269;-8.034996;-34.896187;2024;2024
rua caio pereira;375;apto 203 edf luar do rosarinho;395501,75;Encruzilhada;Recife;PE;2007;798,91;118,55;0,02516;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-05-22;Bom;Apartamento;0,00;13269;-8.034996;-34.896187;2024;2024
rua caio pereira;800;apto 1901 edf sainte juliana;700000,00;Encruzilhada;Recife;PE;2017;1295,39;145,68;0,01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-04-15;Bom;Apartamento;0,00;13269;;;2024;2024
rua caio pereira;800;apto 902 edf sainte juliana;790000,00;Encruzilhada;Recife;PE;2017;1295,39;145,8;0,01589;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-07-26;Bom;Apartamento;665000,00;13269;;;2024;2024
rua caio pereira;800;apto 203 edf sainte juliana;680000,00;Encruzilhada;Recife;PE;2017;1295,39;145,49;0,01581;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-02-01;Bom;Apartamento;0,00;13269;;;2024;2024
