logradouro;numero;complemento;valor_avaliacao;bairro;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;valores_financiados_sfh;cod_logradouro;latitude;longitude;ano;year;mes_transacao;ano_transacao;idade_imovel;valor_por_m2;tem_financiamento_sfh;categoria_valor;categoria_area;tem_coordenadas
av norte miguel arraes de alencar;3071;SEM COMPLEMENTO;1068562.63;Encruzilhada;1997;438.0;511.0;1.0;Médio;Galpão;COMERCIAL COM LIXO ORGANICO;2024-01-23;Regular;Galpão;0.0;46540;-8.034273;-34.896337;2024;2024;1;2024;27;2091.12060665362;0;High;Extra Large;1
av norte miguel arraes de alencar;3029;SEM COMPLEMENTO;1951000.0;Encruzilhada;1957;779.33;582.44;1.0;Médio;Casa;COMERCIAL SEM LIXO ORGANICO;2024-01-25;Regular;Casa;0.0;46540;-8.034435;-34.896335;2024;2024;1;2024;67;3349.701256781814;0;High;Extra Large;1
av norte miguel arraes de alencar;3029;SEM COMPLEMENTO;1500000.0;Encruzilhada;1957;779.33;582.44;1.0;Médio;Casa;COMERCIAL SEM LIXO ORGANICO;2024-01-05;Regular;Casa;0.0;46540;-8.034435;-34.896335;2024;2024;1;2024;67;2575.372570565208;0;High;Extra Large;1
rua caio pereira;375;apto 503 edf luar do rosarinho;402544.22;Encruzilhada;2007;798.91;118.55;0.02516;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-10-22;Bom;Apartamento;200000.0;13269;-8.034996;-34.896187;2024;2024;10;2024;17;3395.5649093209613;1;Medium-High;Large;1
rua caio pereira;375;apto 602 edf luar do rosarinho;405198.63;Encruzilhada;2007;798.91;118.64;0.02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-05-15;Bom;Apartamento;288000.0;13269;-8.034996;-34.896187;2024;2024;5;2024;17;3415.3626938637894;1;Medium-High;Large;1
rua caio pereira;375;apto 801 edf luar do rosarinho;409994.56;Encruzilhada;2007;798.91;118.64;0.02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-08-05;Bom;Apartamento;235000.0;13269;-8.034996;-34.896187;2024;2024;8;2024;17;3455.786918408631;1;Medium-High;Large;1
rua caio pereira;375;apto 203 edf luar do rosarinho;395501.75;Encruzilhada;2007;798.91;118.55;0.02516;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-05-22;Bom;Apartamento;0.0;13269;-8.034996;-34.896187;2024;2024;5;2024;17;3336.1598481653314;0;Medium-High;Large;1
rua caio pereira;800;apto 1901 edf sainte juliana;700000.0;Encruzilhada;2017;1295.39;145.68;0.01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-04-15;Bom;Apartamento;0.0;13269;;;2024;2024;4;2024;7;4805.052169137836;0;High;Large;0
rua caio pereira;800;apto 902 edf sainte juliana;790000.0;Encruzilhada;2017;1295.39;145.8;0.01589;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-07-26;Bom;Apartamento;665000.0;13269;;;2024;2024;7;2024;7;5418.3813443072695;1;High;Large;0
rua caio pereira;800;apto 203 edf sainte juliana;680000.0;Encruzilhada;2017;1295.39;145.49;0.01581;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-02-01;Bom;Apartamento;0.0;13269;;;2024;2024;2;2024;7;4673.860746443054;0;High;Large;0
rua caio pereira;800;apto 1001 edf sainte juliana;785000.0;Encruzilhada;2017;1295.39;145.68;0.01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-06-18;Bom;Apartamento;0.0;13269;;;2024;2024;6;2024;7;5388.522789676002;0;High;Large;0
av santos dumont;824;SEM COMPLEMENTO;1882395.0;Encruzilhada;1951;466.88;290.97;1.0;Médio;Casa;RESIDENCIAL;2024-01-23;Bom;Casa;0.0;53996;-8.034406;-34.896653;2024;2024;1;2024;73;6469.37828642128;0;High;Extra Large;1
av santos dumont;836;SEM COMPLEMENTO;1850275.5;Encruzilhada;1988;484.4;376.11;1.0;Médio;Casa;RESIDENCIAL;2024-03-08;Bom;Casa;0.0;53996;-8.034299;-34.896599;2024;2024;3;2024;36;4919.50626146606;0;High;Extra Large;1
av santos dumont;836;SEM COMPLEMENTO;1850275.5;Encruzilhada;1988;484.4;376.11;1.0;Médio;Casa;RESIDENCIAL;2024-01-31;Bom;Casa;0.0;53996;-8.034299;-34.896599;2024;2024;1;2024;36;4919.50626146606;0;High;Extra Large;1
rua caio pereira;334;apto 501 edf essenza rosarinho;1050000.0;Encruzilhada;2011;1737.63;183.6;0.01923;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-07-16;Bom;Apartamento;0.0;13269;-8.035095;-34.896937;2024;2024;7;2024;13;5718.954248366013;0;High;Large;1
rua caio pereira;334;apto 602 edf essenza rosarinho;1150000.0;Encruzilhada;2011;1737.63;183.6;0.01923;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-10-09;Bom;Apartamento;600000.0;13269;-8.035095;-34.896937;2024;2024;10;2024;13;6263.616557734205;1;High;Large;1
rua caio pereira;390;apto 702 edf acantis;800000.0;Encruzilhada;2005;1147.48;174.33;0.02741;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-07-09;Bom;Apartamento;530000.0;13269;-8.03539;-34.896343;2024;2024;7;2024;19;4588.997877588481;1;High;Large;1
rua caio pereira;390;apto 1801 edf acantis;630000.0;Encruzilhada;2005;1147.48;179.0;0.02814;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-01-08;Bom;Apartamento;453700.0;13269;-8.03539;-34.896343;2024;2024;1;2024;19;3519.5530726256984;1;High;Large;1
rua belmiro correa;59;apto 702 edf. jardim monet;1050000.0;Encruzilhada;2021;1509.37;187.9;0.01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-11-29;Bom;Apartamento;450000.0;10715;-8.035535;-34.896122;2024;2024;11;2024;3;5588.078765300692;1;High;Large;1
rua belmiro correa;59;apto 1501 edf. jardim monet;1104000.0;Encruzilhada;2021;1509.37;187.9;0.01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-01-31;Bom;Apartamento;200000.0;10715;-8.035535;-34.896122;2024;2024;1;2024;3;5875.465673230441;1;High;Large;1
rua belmiro correa;59;apto 2501 edf. jardim monet;1100000.0;Encruzilhada;2021;1509.37;187.9;0.01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2024-09-26;Bom;Apartamento;0.0;10715;-8.035535;-34.896122;2024;2024;9;2024;3;5854.177754124534;0;High;Large;1
