logradouro;numero;complemento;valor_avaliacao;bairro;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;valores_financiados_sfh;cod_logradouro;latitude;longitude;ano;year;mes_transacao;ano_transacao;idade_imovel;valor_por_m2;tem_financiamento_sfh;categoria_valor;categoria_area;tem_coordenadas
rua caio pereira;375;apto 803 edf luar do rosarinho;505000.0;Encruzilhada;2007;798.91;132.01;0.02698;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0.0;13269;-8.034996;-34.896187;2025;2025;1;2025;18;3825.4677675933644;0;Medium-High;Large;1
rua caio pereira;375;apto 302 edf luar do rosarinho;398109.72;Encruzilhada;2007;798.91;118.64;0.02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-12;Bom;Apartamento;0.0;13269;-8.034996;-34.896187;2025;2025;5;2025;18;3355.6112609575184;0;Medium-High;Large;1
rua caio pereira;800;apto 1201 edf sainte juliana;790000.0;Encruzilhada;2017;1295.39;145.68;0.01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-14;Bom;Apartamento;0.0;13269;;;2025;2025;4;2025;8;5422.8445908841295;0;High;Large;0
rua caio pereira;800;apto 1501 edf sainte juliana;780000.0;Encruzilhada;2017;1295.39;145.68;0.01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0.0;13269;;;2025;2025;1;2025;8;5354.200988467875;0;High;Large;0
rua caio pereira;800;apto 1602 edf sainte juliana;840000.0;Encruzilhada;2017;1295.39;145.8;0.01589;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-14;Bom;Apartamento;565600.32;13269;;;2025;2025;1;2025;8;5761.316872427983;1;High;Large;0
rua caio pereira;334;apto 202 edf essenza rosarinho;1000000.0;Encruzilhada;2011;1737.63;183.6;0.01923;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-14;Bom;Apartamento;0.0;13269;-8.035095;-34.896937;2025;2025;1;2025;14;5446.623093681917;0;High;Large;1
rua doutor jose maria;578;apto 0102 edf praia de ceres;595739.42;Encruzilhada;2002;861.0;184.77;0.03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0.0;36196;-8.035868;-34.89625;2025;2025;1;2025;23;3224.221572766142;0;High;Large;1
rua doutor jose maria;658;apto 1701 edf casa rosada;600000.0;Encruzilhada;2010;3090.5;244.73;0.01401;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-09;Bom;Apartamento;0.0;36196;-8.035419;-34.897024;2025;2025;4;2025;15;2451.6814448575983;0;High;Extra Large;1
rua andre reboucas;106;apto 302 edf bellagio residence;230000.0;Rosarinho;2015;610.36;59.74;0.02165;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-16;Bom;Apartamento;0.0;4928;-8.032817;-34.897594;2025;2025;4;2025;10;3850.016739203214;0;Low;Medium;1
rua engenheiro sampaio;68;apto 404 splendid rosarinho;300000.0;Rosarinho;2014;2202.75;59.93;0.00727;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-23;Bom;Apartamento;0.0;53627;-8.033695;-34.897214;2025;2025;5;2025;11;5005.840146837978;0;Medium-Low;Medium;1
