logradouro;numero;complemento;valor_avaliacao;bairro;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;valores_financiados_sfh;cod_logradouro;latitude;longitude;ano;year;mes_transacao;ano_transacao;idade_imovel;valor_por_m2;tem_financiamento_sfh;categoria_valor;categoria_area;tem_coordenadas
av norte miguel arraes de alencar;3071;SEM COMPLEMENTO;1068562.63;Encruzilhada;1997;438.0;511.0;1.0;Médio;Galpão;COMERCIAL COM LIXO ORGANICO;2023-12-21;Regular;Galpão;0.0;46540;-8.034273;-34.896337;2023;2023;12;2023;26;2091.12060665362;0;High;Extra Large;1
av norte miguel arraes de alencar;3029;SEM COMPLEMENTO;1500000.0;Encruzilhada;1957;779.33;582.44;1.0;Médio;Casa;COMERCIAL SEM LIXO ORGANICO;2023-11-17;Regular;Casa;0.0;46540;-8.034435;-34.896335;2023;2023;11;2023;66;2575.372570565208;0;High;Extra Large;1
rua belmiro corrêa;133;apto 0001;110000.0;Encruzilhada;1970;562.05;121.0;0.27191;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-09-26;Bom;Apartamento;0.0;10715;-8.035013;-34.895903;2023;2023;9;2023;53;909.0909090909091;0;Low;Large;1
rua belmiro corrêa;133;apto 0001;110000.0;Encruzilhada;1970;562.05;121.0;0.27191;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-09-22;Bom;Apartamento;0.0;10715;-8.035013;-34.895903;2023;2023;9;2023;53;909.0909090909091;0;Low;Large;1
rua belmiro corrêa;133;apto 0002;110000.0;Encruzilhada;1970;562.05;81.0;0.18202;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-09-22;Bom;Apartamento;0.0;10715;-8.035013;-34.895903;2023;2023;9;2023;53;1358.0246913580247;0;Low;Medium;1
rua belmiro corrêa;133;apto 0003;110000.0;Encruzilhada;1970;562.05;81.0;0.18202;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-09-22;Bom;Apartamento;0.0;10715;-8.035013;-34.895903;2023;2023;9;2023;53;1358.0246913580247;0;Low;Medium;1
rua belmiro corrêa;133;apto 0004;110000.0;Encruzilhada;1970;562.05;81.0;0.18202;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-09-26;Bom;Apartamento;0.0;10715;-8.035013;-34.895903;2023;2023;9;2023;53;1358.0246913580247;0;Low;Medium;1
rua belmiro corrêa;133;apto 0005;110000.0;Encruzilhada;1970;562.05;81.0;0.18202;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-09-22;Bom;Apartamento;0.0;10715;-8.035013;-34.895903;2023;2023;9;2023;53;1358.0246913580247;0;Low;Medium;1
rua belmiro corrêa;109;SEM COMPLEMENTO;4900000.0;Encruzilhada;1951;439.28;343.23;1.0;Médio;Casa;RESIDENCIAL;2023-09-26;Bom;Casa;0.0;10715;-8.035165;-34.895961;2023;2023;9;2023;72;14276.141362934475;0;High;Extra Large;1
rua belmiro corrêa;109;SEM COMPLEMENTO;4900000.0;Encruzilhada;1951;439.28;343.23;1.0;Médio;Casa;RESIDENCIAL;2023-09-26;Bom;Casa;0.0;10715;-8.035165;-34.895961;2023;2023;9;2023;72;14276.141362934475;0;High;Extra Large;1
